# word,quad,pos,reformed
# Reformed by script using Examples/oxford.yaml and Examples/non-oxford.yaml

word,quad,pos,reformed
bunch,1,noun,bunch
bundle,1,noun,bundle
bungalow,-,-,bungalow
burden,1,noun,burden
bureau,-,-,bureau
bureaucracy,-,-,burocracy
bureaucrat,-,-,bureaucrat
bureaucratic,-,-,bureaucratic
burger,-,-,burger
burglar,-,-,burglar
burglar,-,noun,burglar
burglary,-,-,burglary
burial,-,-,burial
burn,1,verb,burn
burn,2,noun,burn
burning,1,adjective,burning
burnt,2,adjective,burnt
burst,1,verb,burst
burst,2,noun,burst
bury,-,-,berry
bus,1,noun,bus
bush,-,-,bwsh
business,-,-,bizness
businessman,-,-,businessman
bus,-,noun,bus
bust,1,verb,bust
bust,2,noun,bust
busy,1,adjective,bizzy
but,1,conjunction,but
but,2,preposition,but
butcher,1,noun,butcher
butter,1,noun,butter
butterfly,-,-,butterfly
buttock,-,-,buttock
button,1,noun,button
buy,1,verb,buy
buyer,-,-,buyer
buzz,1,verb,buzz
by,1,preposition,by
by,2,adverb,by
bye,1,interjection,bye
cab,-,-,cab
cabbage,-,-,cabbage
cabin,-,-,cabbin
cabinet,-,-,cabbinet
cable,1,noun,cable
café,-,-,café
cafeteria,-,-,cafeteria
cage,1,noun,cage
cake,1,noun,cake
calcium,-,-,calcium
calculate,-,-,calculate
calculation,-,-,calculation
calculator,-,-,calculator
calendar,-,-,calendar
calf,-,-,calf
call,1,verb,call
call,2,noun,call
call,-,noun,call
calm,1,adjective,calm
calm,2,noun,calm
calm,3,verb,calm
calorie,-,-,calorie
camel,-,-,camel
camera,-,-,camera
camp,1,noun,camp
camp,2,verb,camp
campaign,1,noun,campane
campaign,2,verb,campane
campaigner,-,-,campaigner
camping,-,-,camping
campsite,-,-,campsite
campus,-,-,campus
can,1,modal verb,can
can,2,noun,can
canal,-,-,canal
cancel,-,-,cancel
cancellation,-,-,cancellation
cancer,-,-,cancer
candid,-,-,candid
candidate,-,-,candidate
candle,-,-,candle
candy,-,-,candy
cane,1,noun,cane
cannot,-,verb,can not
canoe,1,noun,canoe
can,-,noun,can
can't,-,-,can't
canvas,-,-,canvas
canyon,-,-,canyon
cap,1,noun,cap
capability,-,-,capability
capable,-,-,capable
capacity,-,-,capacity
cape,-,-,cape
capital,1,noun,capital
capital,2,adjective,capital
capitalism,-,-,capitalism
capitalist,1,noun,capitalist
capitalist,2,adjective,capitalist
capital,-,noun,capital
captain,1,noun,capten
capture,1,verb,capture
car,-,-,car
caravan,-,-,caravan
carbohydrate,-,-,carbohydrate
carbon,-,-,carbon
card,1,noun,card
cardigan,-,-,cardigan
care,1,noun,care
care,2,verb,care
career,1,noun,career
carefree,-,-,carefree
careful,-,-,careful
carefully,-,-,carefully
careless,-,-,careless
carer,-,-,carer
caretaker,-,-,caretaker
cargo,-,-,cargo
caring,-,-,caring
carnival,-,-,carnival
car,-,noun,car
carpenter,-,-,carpenter
carpet,1,noun,carpet
carriage,-,-,carriage
carrier,-,noun,carrier
carrot,-,-,carrot
carry,1,verb,carry
cart,1,noun,cart
carton,-,-,carton
cartoon,-,-,cartoon
carve,-,-,carve
case,1,noun,case
cash,1,noun,cash
cash,-,noun,cash
casino,-,-,gamblery
cast,1,verb,cast
cast,2,noun,cast
castle,-,-,cassle
casual,-,-,casual
casualty,-,-,casuality
cat,-,-,cat
catalogue,1,noun,catalog
catalyst,-,-,catalyst
catastrophe,-,-,catastrophe
catastrophic,-,-,catastrophic
catch,1,verb,catch
catch,2,noun,catch
categorize,-,-,categorize
category,-,-,category
